study_key,label,code,from_submodel,to_submodel,parameter_family,parameter,travel_label,from_value,to_value,from_rate_Gpc3yr,to_rate_Gpc3yr,study_color_code,compact_object_type
Chu_2021_BSE,Chu_γ1.5_kb_β0.8_Madau_Dickinson_to_γ1.7_kb_β0.8_Madau_Dickinson,Chu_2021_BSE,Chu_γ1.5_kb_β0.8_Madau_Dickinson,Chu_γ1.7_kb_β0.8_Madau_Dickinson,angular momentum,gamma,γ1.5_kb_β0.8_Madau_Dickinson to γ1.7_kb_β0.8_Madau_Dickinson,1.5,1.7,37.8,411,,NS-NS
Chu_2021_BSE,Chu_γ1.1_kb_β0.6_Millennium-II_to_γ1.3_kb_β0.6_Millennium-II,Chu_2021_BSE,Chu_γ1.1_kb_β0.6_Millennium-II,Chu_γ1.3_kb_β0.6_Millennium-II,angular momentum,gamma,γ1.1_kb_β0.6_Millennium-II to γ1.3_kb_β0.6_Millennium-II,1.1,1.3,340,3.4,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.6_Millennium-II_to_γ1.5_kb_β0.6_Millennium-II,Chu_2021_BSE,Chu_γ1.3_kb_β0.6_Millennium-II,Chu_γ1.5_kb_β0.6_Millennium-II,angular momentum,gamma,γ1.3_kb_β0.6_Millennium-II to γ1.5_kb_β0.6_Millennium-II,1.3,1.5,3.4,559,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.6_Millennium-II_to_γ1.7_kb_β0.6_Millennium-II,Chu_2021_BSE,Chu_γ1.5_kb_β0.6_Millennium-II,Chu_γ1.7_kb_β0.6_Millennium-II,angular momentum,gamma,γ1.5_kb_β0.6_Millennium-II to γ1.7_kb_β0.6_Millennium-II,1.5,1.7,559,1205,,NS-NS
Chu_2021_BSE,Chu_γ1.1_kb_β0.6_EAGLE_to_γ1.3_kb_β0.6_EAGLE,Chu_2021_BSE,Chu_γ1.1_kb_β0.6_EAGLE,Chu_γ1.3_kb_β0.6_EAGLE,angular momentum,gamma,γ1.1_kb_β0.6_EAGLE to γ1.3_kb_β0.6_EAGLE,1.1,1.3,36.6,27,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.6_EAGLE_to_γ1.5_kb_β0.6_EAGLE,Chu_2021_BSE,Chu_γ1.3_kb_β0.6_EAGLE,Chu_γ1.5_kb_β0.6_EAGLE,angular momentum,gamma,γ1.3_kb_β0.6_EAGLE to γ1.5_kb_β0.6_EAGLE,1.3,1.5,27,58,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.6_EAGLE_to_γ1.7_kb_β0.6_EAGLE,Chu_2021_BSE,Chu_γ1.5_kb_β0.6_EAGLE,Chu_γ1.7_kb_β0.6_EAGLE,angular momentum,gamma,γ1.5_kb_β0.6_EAGLE to γ1.7_kb_β0.6_EAGLE,1.5,1.7,58,220,,NS-NS
Chu_2021_BSE,Chu_γ1.1_kb_β0.6_Illustris-TNG_to_γ1.3_kb_β0.6_Illustris-TNG,Chu_2021_BSE,Chu_γ1.1_kb_β0.6_Illustris-TNG,Chu_γ1.3_kb_β0.6_Illustris-TNG,angular momentum,gamma,γ1.1_kb_β0.6_Illustris-TNG to γ1.3_kb_β0.6_Illustris-TNG,1.1,1.3,174,17.1,,NS-NS
Chu_2021_BSE,Chu_γ1.3_kb_β0.6_Illustris-TNG_to_γ1.5_kb_β0.6_Illustris-TNG,Chu_2021_BSE,Chu_γ1.3_kb_β0.6_Illustris-TNG,Chu_γ1.5_kb_β0.6_Illustris-TNG,angular momentum,gamma,γ1.3_kb_β0.6_Illustris-TNG to γ1.5_kb_β0.6_Illustris-TNG,1.3,1.5,17.1,301,,NS-NS
Chu_2021_BSE,Chu_γ1.5_kb_β0.6_Illustris-TNG_to_γ1.7_kb_β0.6_Illustris-TNG,Chu_2021_BSE,Chu_γ1.5_kb_β0.6_Illustris-TNG,Chu_γ1.7_kb_β0.6_Illustris-TNG,angular momentum,gamma,γ1.5_kb_β0.6_Illustris-TNG to γ1.7_kb_β0.6_Illustris-TNG,1.5,1.7,301,655,,NS-NS
